CARD_PROM_12,CHILDREN,DONOR_AGE,FILE_CARD_GIFT,FREQUENCY_STATUS_97NK,INCOME_GROUP,LAST_GIFT_AMT,LIFETIME_CARD_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LIFETIME_PROM,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,MONTHS_SINCE_FIRST_GIFT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_LAST_PROM_RESP,NUMBER_PROM_12,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PCT_OWNER_OCCUPIED,PEP_STAR,PER_CAPITA_INCOME,RECENT_AVG_CARD_GIFT_AMT,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_COUNT,RECENT_CARD_RESPONSE_PROP,RECENT_RESPONSE_COUNT,RECENT_RESPONSE_PROP,RECENT_STAR_STATUS,DONOR_GENDER_F,DONOR_GENDER_M,DONOR_GENDER_U,HOME_OWNER_H,HOME_OWNER_U,RECENCY_STATUS_96NK_A,RECENCY_STATUS_96NK_E,RECENCY_STATUS_96NK_F,RECENCY_STATUS_96NK_L,RECENCY_STATUS_96NK_N,RECENCY_STATUS_96NK_S,SES_1,SES_2,SES_3,SES_4,SES_?,URBANICITY_?,URBANICITY_C,URBANICITY_R,URBANICITY_S,URBANICITY_T,URBANICITY_U
1.6094,1.3863,-3.8712,2.4068,1.0,2.0461,3.8677,2.6536,5.5957,3.0267,4.0878,3.8181,3.6689,8.161,6.3099,4.2741,-2.229,3.4353,2.5767,2.7794,-3.5264,3.2675,4.4142,-3.7096,0.0,10.1693,0.0,2.8802,1.5465,0.0,1.4468,0.0,2.1758,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.6094,0.6931,-2.0794,2.5725,2.0,2.1677,3.4915,3.0543,5.6141,3.1192,3.9041,3.2393,3.9742,8.6976,6.4968,4.5198,-2.7906,3.2958,2.5767,2.7794,-3.9005,3.7196,4.0362,-3.8251,0.0,10.175,2.3979,3.4117,1.7396,0.1178,1.8325,0.4265,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.9459,1.0986,-3.2958,2.6461,3.0,1.5556,3.4915,2.9017,5.6213,3.1625,3.8201,3.2393,3.8546,7.9031,5.3845,4.3671,-2.3312,3.4965,2.7183,2.8964,-3.4012,3.9169,3.963,-4.1245,1.0,9.1529,2.269,3.2767,2.0406,0.4055,1.9809,0.2231,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.9459,0.0,-3.434,2.7146,4.0,1.3186,3.4915,2.9552,5.8119,3.422,3.8201,3.2393,3.9162,7.8484,5.1299,4.4045,-2.7906,3.3673,2.7822,2.7794,-3.8286,4.1627,4.0537,-4.4289,1.0,8.9278,2.2513,3.251,2.1628,0.4517,2.5055,0.511,2.1758,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.9459,0.6931,-3.5553,2.4931,2.0,2.276,3.3956,2.9017,5.6569,3.1625,3.9847,3.2393,3.9553,7.9761,5.5607,4.4286,-2.5088,3.434,2.8989,2.7794,-4.1109,3.5336,4.0347,-4.3924,0.0,9.4307,1.7918,3.4061,1.7396,0.1544,1.9809,0.1939,2.1758,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.6094,1.3863,-3.3855,2.4068,1.0,1.8942,3.6332,2.5806,5.5578,3.0267,3.9041,3.57,3.6165,7.9119,5.1475,4.1869,-2.7272,3.3322,2.65,2.7794,-3.6109,3.5903,4.071,-4.3153,0.0,9.1965,0.0,3.491,1.8613,0.0,1.6581,0.1823,2.1758,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.5649,1.0986,-2.9957,3.2619,2.0,1.3186,3.3956,3.7888,6.0713,3.9046,3.7979,3.1577,4.985,7.8298,4.8363,5.1637,-3.2692,3.1355,3.9348,2.7794,-3.6889,3.1022,4.2713,-4.0402,1.0,9.0877,1.981,3.1704,2.1628,0.3365,2.2246,0.2231,2.2834,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.9459,0.6931,-3.6636,2.6461,1.0,2.0461,3.7573,3.3034,5.708,3.2437,4.0002,3.2393,4.2796,7.8604,5.7746,4.8428,-2.587,3.4012,2.7822,2.7794,-4.0254,4.4572,3.1618,-4.3417,0.0,9.294,0.0,3.5357,1.5465,0.0,1.8325,0.0998,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.9459,1.6094,-3.3855,2.7146,3.0,1.8942,3.4915,3.1444,5.6742,3.3895,3.8417,3.2393,4.1143,8.2208,5.9713,4.5306,-2.5088,3.434,2.7822,3.096,-3.7612,4.1782,3.6274,-4.3019,0.0,9.4817,2.2513,3.2891,1.9014,0.1823,1.9809,0.1398,2.1758,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.8547,1.0986,-3.9318,2.4931,2.0,2.0461,3.7573,3.0543,5.698,3.1625,4.0002,3.4183,3.9553,7.8342,5.0039,4.4405,-2.7906,3.2958,2.7183,2.7794,-3.912,3.6698,3.963,-4.2023,0.0,8.8054,2.3979,3.4442,1.7396,0.1053,2.1101,0.2005,2.1758,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.9459,1.0986,-3.8501,2.5725,4.0,1.9078,3.4286,2.9552,5.6249,3.2039,3.752,3.2393,3.9359,7.795,5.2523,4.3671,-2.6596,3.3673,2.7183,2.8396,-3.9703,3.6175,4.071,-4.0224,0.0,9.0239,2.0149,3.1982,1.9014,0.2515,1.9809,0.1823,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.9459,1.0986,-3.3322,2.5725,1.0,1.3186,3.7337,3.3395,5.7406,3.2039,3.9847,3.2393,4.3203,7.8382,5.3519,4.8428,-2.7272,3.3322,2.8989,2.7794,-3.912,3.9749,3.9438,-3.8885,0.0,9.1032,2.9957,3.606,1.7396,0.1053,1.6581,0.0516,2.1758,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.7918,1.0986,-4.1897,2.5725,2.0,1.9078,3.4915,3.266,5.7013,3.2039,4.0002,3.2393,4.2656,7.9243,5.7203,5.0422,-2.6596,3.3673,2.65,2.7794,-3.7842,3.5336,3.8839,-4.0576,0.0,9.5437,2.3979,3.491,1.7396,0.1544,1.8325,0.1432,2.1758,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.7918,0.0,-4.3737,2.7787,1.0,1.7471,3.8677,3.3034,5.8558,3.3189,4.0878,3.2393,4.2933,8.0085,5.7714,4.6617,-1.6659,3.6376,2.65,3.4641,-3.8712,3.956,4.0362,-4.3674,1.0,9.6212,0.0,3.7569,1.5465,0.0,1.6581,0.0469,3.0823,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.6094,1.3863,-3.3855,2.4068,1.0,2.1677,3.8677,2.6536,5.855,3.0267,4.0878,3.8181,3.6689,8.0303,6.25,4.288,-2.1151,3.4353,2.5767,3.6664,-3.6109,4.2661,3.798,-4.0044,0.0,9.7481,0.0,2.8802,1.5465,0.0,1.4468,0.0,2.1758,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.3863,1.6094,-3.9318,2.7146,4.0,1.7471,3.3262,2.9552,5.6742,3.3189,3.7283,3.2393,3.8755,8.0416,5.7652,4.5414,-2.7906,3.2958,2.0985,2.8473,-3.912,4.2661,3.5149,-4.7861,1.0,9.7808,2.0149,3.1599,1.9014,0.2515,2.1101,0.2685,2.2834,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7918,1.6094,-3.1355,2.4931,2.0,2.0461,3.6332,2.7216,5.5957,3.074,3.9041,3.4183,3.7187,8.0142,6.0981,4.288,-2.229,3.5553,2.65,2.8396,-3.912,4.0297,3.9043,-3.9286,0.0,9.802,2.3979,3.3257,1.7396,0.2231,1.6581,0.1337,2.1758,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.9459,1.0986,-3.3855,2.6461,1.0,1.3186,4.2882,3.3395,6.0597,3.2039,4.4614,3.7017,4.3069,7.87,5.1705,4.6617,-2.5088,3.434,2.7822,2.7794,-3.989,4.0118,3.8419,-4.0916,0.0,9.0857,2.5543,4.2315,1.7396,0.0953,1.8325,0.0908,2.1758,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.6094,0.6931,-3.9703,2.839,1.0,1.9078,3.5506,3.2931,6.0045,3.5154,4.0878,3.2393,4.4451,7.8386,5.5373,4.9545,-2.587,3.4012,2.7183,2.7794,-3.9318,3.8554,4.1045,-3.9672,1.0,9.1295,0.0,3.3951,1.5465,0.0,1.6581,0.0649,2.1758,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
